	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	price	minimum_nights	number_of_reviews	calculated_host_listings_count	availability_365	cancellation_policy	guests_included	bedrooms	risk_rating
0	49091	266763	2	40	1.44255	103.7958	84	180	1	2	365	0	1	1	1
1	50646	227796	0	6	1.33235	103.78520999999999	80	90	18	1	365	1	2	1	1
2	56334	266763	2	40	1.44246	103.79666999999999	70	6	20	2	365	0	1	1	0
3	71609	367042	1	36	1.34541	103.95711999999999	167	90	20	8	365	0	4	1	1
4	71896	367042	1	36	1.3456700000000001	103.95963	95	90	24	8	365	1	1	1	1
5	71903	367042	1	36	1.34702	103.96103000000001	84	90	48	8	365	1	1	1	1
6	71907	367042	1	36	1.34348	103.96337	209	1	29	8	180	2	4	1	0
7	241503	1017645	1	1	1.3239100000000001	103.91277	52	90	176	3	356	2	1	1	1
8	241508	1017645	1	1	1.3239100000000001	103.91277	54	90	199	3	353	2	1	1	1
9	275343	1439258	0	4	1.28875	103.80814000000001	49	14	20	4	364	2	1	1	0
10	275344	1439258	0	4	1.28837	103.81099	41	14	12	4	364	1	1	1	0
11	294281	1521514	0	20	1.31125	103.83816	63	90	133	7	365	1	1	1	1
12	301247	1552002	0	11	1.31724	103.88958000000001	40	10	104	1	0	1	1	1	2
13	324945	1439258	0	4	1.28976	103.80896	45	14	14	4	364	1	1	1	0
14	330089	1439258	0	4	1.28677	103.81244000000001	41	14	10	4	364	1	1	0	0
15	344803	367042	1	36	1.34943	103.95951	49	90	58	8	365	1	1	1	1
16	355955	1759905	0	11	1.3142	103.90231999999999	80	90	0	1	174	0	1	1	1
17	369141	1521514	0	20	1.3115	103.83759	60	90	92	7	365	1	1	1	1
18	369145	1521514	0	20	1.31159	103.83805	60	90	165	7	365	1	1	1	1
19	395191	1975201	0	28	1.29345	103.83561999999999	56	90	27	1	0	2	2	1	1
20	423875	367042	1	36	1.34838	103.9592	105	90	18	8	365	0	1	1	1
21	468782	2327208	3	32	1.3628	103.86446	56	2	82	1	365	2	1	1	2
22	481789	2386154	1	36	1.34816	103.93238000000001	36	180	0	1	365	2	1	1	1
23	553229	1030128	4	14	1.34135	103.71139000000001	56	2	29	3	365	2	1	1	0
24	604966	2996022	0	6	1.33171	103.79383	278	4	11	1	362	2	1	2	0
25	642660	3212572	0	29	1.3010899999999999	103.85234	168	180	0	1	365	2	1	1	1
26	696136	1289033	0	6	1.31016	103.79853	101	90	28	1	91	1	1	1	1
27	733863	3824517	3	32	1.36743	103.87288000000001	27	180	0	1	365	2	1	1	1
28	746929	3919513	1	1	1.30792	103.92286999999999	210	14	117	1	37	2	4	2	2
29	756267	1584407	0	18	1.30416	103.90075999999999	165	2	69	5	87	1	1	1	2
30	756300	3981231	3	32	1.35001	103.87161	43	1	36	1	0	0	1	1	0
31	756347	3981177	1	24	1.37527	103.94561999999999	205	1	0	1	0	0	1	1	0
32	765579	2413412	0	23	1.2841	103.84253000000001	45	90	2	138	356	2	1	1	1
