	Name_neighbourhood_group	neighbourhood_group	Name_neighbourhood	neighbourhood	Name_room_type	room_type	Name_bed_type	bed_type	Name_risk_rating	risk_rating	Name_cancellation_policy	cancellation_policy	neighbourhood_group	neighbourhood	room_type
0	North Region	2	Woodlands	40	Private room	2	Real Bed	4	Low risk	1	flexible	0	2	40	2
1	Central Region	0	Bukit Timah	6	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	6	2
2	North Region	2	Woodlands	40	Private room	2	Real Bed	4	High risk	0	flexible	0	2	40	2
3	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	flexible	0	1	36	2
4	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	moderate	1	1	36	2
5	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	moderate	1	1	36	2
6	East Region	1	Tampines	36	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	1	36	2
7	East Region	1	Bedok	1	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	1	2
8	East Region	1	Bedok	1	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	1	2
9	Central Region	0	Bukit Merah	4	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	4	2
10	Central Region	0	Bukit Merah	4	Private room	2	Real Bed	4	High risk	0	moderate	1	0	4	2
11	Central Region	0	Newton	20	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	20	2
12	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Medium risk	2	moderate	1	0	11	2
13	Central Region	0	Bukit Merah	4	Private room	2	Real Bed	4	High risk	0	moderate	1	0	4	2
14	Central Region	0	Bukit Merah	4	Private room	2	Real Bed	4	High risk	0	moderate	1	0	4	2
15	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	moderate	1	1	36	2
16	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Low risk	1	flexible	0	0	11	2
17	Central Region	0	Newton	20	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	20	2
18	Central Region	0	Newton	20	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	20	2
19	Central Region	0	River Valley	28	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	28	2
20	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	flexible	0	1	36	2
21	North-East Region	3	Serangoon	32	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	3	32	2
22	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	36	2
23	West Region	4	Jurong West	14	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	14	2
24	Central Region	0	Bukit Timah	6	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	6	0
25	Central Region	0	Rochor	29	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	29	2
26	Central Region	0	Bukit Timah	6	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	6	2
27	North-East Region	3	Serangoon	32	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	3	32	2
